epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.6058,1.5175,2.7759,1.30032,0.00347,0.95754,0.48103,0.25715,1.27844,3.46439,1.10933,0.00054,0.00054,0.00054
2,178.766,1.54501,2.02829,1.35386,0.7731,0.18086,0.38822,0.19959,1.43211,3.42707,1.24658,0.00107822,0.00107822,0.00107822
3,268.411,1.53114,1.83925,1.27684,0.24911,0.33546,0.22526,0.10093,1.54997,3.22883,1.38672,0.00159426,0.00159426,0.00159426
4,356.84,1.50647,1.65744,1.25972,0.63135,0.5414,0.5943,0.29677,1.65664,2.6033,1.40723,0.0018812,0.0018812,0.0018812
5,445.542,1.51402,1.50627,1.28763,0.74769,0.66062,0.71556,0.32479,1.76933,2.13758,1.52528,0.0018416,0.0018416,0.0018416
6,535.742,1.54484,1.371,1.27998,0.72534,0.74574,0.72532,0.37361,1.53528,1.70675,1.3512,0.001802,0.001802,0.001802
7,627.426,1.41584,1.35079,1.18643,0.85781,0.69427,0.81964,0.43048,1.53312,1.605,1.351,0.0017624,0.0017624,0.0017624
8,717.442,1.48038,1.22654,1.27884,0.8127,0.71975,0.82691,0.46463,1.46899,1.41361,1.29889,0.0017228,0.0017228,0.0017228
9,805.272,1.37309,1.16104,1.22093,0.90174,0.77707,0.84766,0.49683,1.39663,1.41659,1.23181,0.0016832,0.0016832,0.0016832
10,892.919,1.46224,1.17286,1.28583,0.78636,0.7983,0.85158,0.45946,1.50584,1.29782,1.30371,0.0016436,0.0016436,0.0016436
11,980.076,1.36727,1.09424,1.23493,0.87684,0.81622,0.90592,0.54344,1.3359,1.08212,1.20815,0.001604,0.001604,0.001604
12,1067.36,1.40724,1.00553,1.23015,0.89634,0.81529,0.90838,0.52352,1.3521,1.00232,1.23417,0.0015644,0.0015644,0.0015644
13,1154.72,1.32209,1.00259,1.17433,0.88389,0.85662,0.91532,0.54897,1.34821,0.9043,1.23307,0.0015248,0.0015248,0.0015248
14,1241.83,1.34208,0.95818,1.20619,0.87087,0.79193,0.90891,0.53,1.38328,0.97462,1.24373,0.0014852,0.0014852,0.0014852
15,1329.26,1.3808,0.95697,1.23184,0.86409,0.81104,0.8875,0.50702,1.37727,0.92277,1.22925,0.0014456,0.0014456,0.0014456
16,1416.46,1.32775,0.89584,1.18815,0.81645,0.83227,0.87629,0.43285,1.5722,1.10398,1.29124,0.001406,0.001406,0.001406
17,1503.62,1.32621,0.89751,1.17808,0.86154,0.87189,0.91779,0.54741,1.31347,0.9276,1.1973,0.0013664,0.0013664,0.0013664
18,1590.92,1.34388,0.89233,1.21657,0.89487,0.87261,0.92535,0.56499,1.25156,0.86058,1.16527,0.0013268,0.0013268,0.0013268
19,1678.52,1.32152,0.88193,1.15714,0.86491,0.88747,0.9161,0.55606,1.26278,0.86099,1.19775,0.0012872,0.0012872,0.0012872
20,1765.56,1.27983,0.87406,1.18743,0.88185,0.89384,0.94068,0.58203,1.30474,0.8,1.17157,0.0012476,0.0012476,0.0012476
21,1853.26,1.30801,0.84494,1.18378,0.90616,0.90234,0.94874,0.59677,1.25124,0.76049,1.1598,0.001208,0.001208,0.001208
22,1940.44,1.28295,0.83013,1.17942,0.88946,0.9087,0.95684,0.60668,1.22635,0.76639,1.15859,0.0011684,0.0011684,0.0011684
23,2027.77,1.24798,0.83437,1.15731,0.87333,0.92781,0.94936,0.61518,1.18778,0.76703,1.1292,0.0011288,0.0011288,0.0011288
24,2115.02,1.28367,0.80702,1.14453,0.93086,0.91477,0.95095,0.61357,1.16709,0.69035,1.12306,0.0010892,0.0010892,0.0010892
25,2202.17,1.26372,0.78253,1.1404,0.89747,0.92924,0.95416,0.60746,1.20469,0.75481,1.14609,0.0010496,0.0010496,0.0010496
26,2289.36,1.241,0.77853,1.15077,0.92267,0.91203,0.9625,0.62721,1.19537,0.70527,1.14107,0.00101,0.00101,0.00101
27,2376.47,1.25451,0.76331,1.14667,0.93351,0.92407,0.96353,0.61819,1.19556,0.69728,1.12566,0.0009704,0.0009704,0.0009704
28,2463.73,1.28611,0.7761,1.12839,0.92259,0.93624,0.96798,0.64587,1.12672,0.67037,1.11473,0.0009308,0.0009308,0.0009308
29,2550.93,1.18415,0.73069,1.13474,0.91845,0.94055,0.96859,0.62909,1.14343,0.6533,1.10655,0.0008912,0.0008912,0.0008912
30,2638.41,1.1779,0.73683,1.09023,0.9432,0.95966,0.97442,0.65653,1.10574,0.62657,1.09742,0.0008516,0.0008516,0.0008516
31,2726,1.18064,0.69121,1.12573,0.94204,0.96603,0.974,0.65692,1.12998,0.61176,1.10421,0.000812,0.000812,0.000812
32,2813.48,1.22136,0.7449,1.16512,0.93579,0.95926,0.9724,0.66632,1.09946,0.63247,1.09595,0.0007724,0.0007724,0.0007724
33,2900.81,1.10863,0.68191,1.05629,0.9323,0.96485,0.9769,0.66659,1.0744,0.60844,1.08014,0.0007328,0.0007328,0.0007328
34,2988.22,1.19829,0.68724,1.10395,0.93213,0.95754,0.9743,0.67678,1.05498,0.59183,1.06927,0.0006932,0.0006932,0.0006932
35,3075.52,1.2077,0.70394,1.17149,0.92289,0.96815,0.97676,0.6666,1.05515,0.59896,1.07407,0.0006536,0.0006536,0.0006536
36,3162.94,1.12553,0.65647,1.1207,0.93945,0.95541,0.97262,0.6809,1.04642,0.58479,1.08007,0.000614,0.000614,0.000614
37,3250.26,1.10196,0.62574,1.09239,0.95437,0.96391,0.97926,0.69182,1.04552,0.55117,1.06746,0.0005744,0.0005744,0.0005744
38,3337.49,1.1734,0.67281,1.11124,0.93299,0.97877,0.97607,0.67854,1.04009,0.56464,1.0655,0.0005348,0.0005348,0.0005348
39,3424.8,1.16494,0.63283,1.10242,0.94813,0.97028,0.97843,0.68446,1.04922,0.57747,1.06877,0.0004952,0.0004952,0.0004952
40,3512.24,1.11075,0.6255,1.0975,0.94522,0.96391,0.97432,0.69664,1.00107,0.53788,1.04425,0.0004556,0.0004556,0.0004556
41,3598.59,1.08931,0.62704,1.08601,0.94636,0.97391,0.97566,0.68729,1.00058,0.55822,1.04587,0.000416,0.000416,0.000416
42,3685.16,1.08279,0.58574,1.08759,0.94368,0.96603,0.97526,0.68824,1.00137,0.55147,1.04362,0.0003764,0.0003764,0.0003764
43,3771.66,1.06222,0.58036,1.08315,0.94921,0.96178,0.97436,0.69608,0.97747,0.54608,1.0353,0.0003368,0.0003368,0.0003368
44,3858.16,1.17877,0.5906,1.21367,0.9409,0.97452,0.97763,0.69989,0.97665,0.54449,1.03678,0.0002972,0.0002972,0.0002972
45,3944.61,1.05935,0.57125,1.07332,0.95178,0.97452,0.97783,0.70841,0.96463,0.5314,1.03567,0.0002576,0.0002576,0.0002576
46,4031.09,1.02599,0.56163,1.0383,0.95117,0.96815,0.97844,0.71293,0.94924,0.52204,1.02841,0.000218,0.000218,0.000218
47,4117.58,0.98639,0.54132,1.04653,0.95608,0.98301,0.98228,0.72242,0.93728,0.50709,1.02179,0.0001784,0.0001784,0.0001784
48,4203.87,0.98823,0.52318,1.04395,0.9619,0.98301,0.98253,0.72492,0.92717,0.49955,1.01738,0.0001388,0.0001388,0.0001388
49,4290.27,0.9775,0.5207,1.03391,0.96253,0.9818,0.98335,0.72996,0.91301,0.49272,1.01346,9.92e-05,9.92e-05,9.92e-05
50,4376.74,0.97878,0.51072,1.03694,0.96007,0.98301,0.98319,0.73061,0.90975,0.48942,1.0114,5.96e-05,5.96e-05,5.96e-05
